,Unnamed: 0,NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project
139,139,140.   ,"Pigfarm, 20-Seater WC Public Toilets",Pigfarm,Osamanpa Est Dev Ltd,ASIP,"Friday, August 10, 2001",3 Months,"114,809.07",ASIP (AfDB),Completed
140,140,141.   ,"Ayalolo Cluster of Schools, 20 Seater Public Toilets",Ashiedu Keteke,Tonyman,ASIP,"Saturday, August 10, 2002",3 Months,"91,261.06",ASIP (AfDB),Completed
141,141,142.   ,"Adabraka Boundary Road Cluster of Schools, 20-Seater WC Public Toilets",Adabraka,Tonyman,ASIP,"Saturday, August 10, 2002",3 Months,"91,261.06",ASIP (AfDB),Completed
142,142,143.   ,"Kwaotsuru (Initial Site at Ayidiki Replaced due to Litigation), 20-Seater WC Public Toilets",Alajo,Kwamerk Const. Ltd,ASIP,"Friday, February 10, 2017",3 Months,"85,141.40",ASIP (AfDB),Recommended for termination
143,143,144.   ,"Alajo, Behind the Presby, 20-Seater WC Public Toilets",Alajo,Kwamerk Const. Ltd,ASIP,"Monday, August 10, 2015",3 Months,"85,141.40",ASIP (AfDB),Site taken over by Sub Metro Chairman
144,144,145.   ,"Alajo, Behind the Cluster of Schools, 20-Seater WC Public Toilets",Alajo,Kwamerk Const. Ltd,ASIP,"Thursday, September 10, 2015",3 Months,"85,141.40",ASIP (AfDB),Site taken over by Sub Metro Chairman
170,170,171.   ,Construction of Borehole at ASIP Toilet – Kaneshie Anglican Cluster of Schools,Okaikoi South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
171,171,172.   ,Construction of Borehole at ASIP Toilet – Kingsway Cluster of Schools,Osu Klottey,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
172,172,173.   ,Construction of Borehole at ASIP Toilet- Salvation Army School Compound,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),completed
177,177,178.   ,Construction of Borehole at Abavana Cluster of Schools – AMA/ASIP Toilet Block,Ayawaso Central,-,-,-,-,"13,200.00",ASIP (AfDB),Completed
182,182,183.   ,Renovation of 2No. Offices and Toilet Facility for Metro Security Department,High Street Accra,-,-,-,-,"32,987.87",IGF,Completed
186,186,187.   ,Contract 4 Phase Ii: Construction Of 2no. 20- Seater Water Closet Toilets  In Public Schools (Lot 2 - Ablekuma Central ),Ablekuma Central,-,-,-,-,"474,766.00",AfDB,On-going
192,192,193.   ,"Sempe School Toilet, 20-Seater Wc Public Toilets",Sempe,-,-,-,-,"93,565.95",AfDB,On-going
194,194,195.   ,Construction of Borehole at ASIP Toilet – Brother Lawson,Ablekuma South,,,,,"12,957.28",ASIP (AfDB),Completed
195,195,196.   ,Construction of Borehole at ASIP Toilet – Kaneshie ‘1’ Cluster of Schools,Okaikoi South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
196,196,197.   ,Construction of Borehole at ASIP Toilet – Mamprobi Site 15,Ablekuma Central,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
197,197,198.   ,Construction of Borehole at Site Near Sempe School - ASIP Toilet,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
198,198,199.   ,Construction of Borehole at ASIP Toilet – Site opposite Korle Bu Hospital,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
207,207,208.   ,Construction of Borehole at Town Council Line b/n Toilet 1 and Parliament,Ablekuma Central,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
214,214,215.   ,Construction of Borehole at ASIP Toilet Odorgonno Senior High School 10-Seater,Ablekuma North,-,-,-,-,"13,200.00",ASIP (AfDB),On-going
225,225,226.   ,Provision of HouseHold Toilet Facilities,"Glefe, Chorkor, Gbegbeyis,Mampongse",-,-,-,-,-,GAMA-SWP,On-going
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,"3,614,534.18",,
