NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project,,,,,,,,,,,,,,,,
11.      ,Construction of 6- unit classroom block with ancillary facilities at Kwashieman Cluster of Schools in the Accra Metropolitan Assembly,Kawshieman,Blematessa Company Limited,Metro Works Department,"Wednesday, January 08, 2003","Wednesday, January 08, 2003","150,415.70",MOE/GETFUND,Completed,,,,,,,,,,,,,,,,
12.      ,Construction of 6- Unit Classroom Block for Dzorwulu Primary ‘B’ School,Dzorwulu,Emnart Const. Works,Metro Works Department,"Monday, May 13, 2002","Sept, 2014","144,650.41",GETFund/IGF,Completed,,,,,,,,,,,,,,,,
13.      ,Construction of 3-Unit of special needs school at Dansoman,Dansoman,N-plan Company Limited,Metro Works Department,"Friday, November 13, 2020","Jan, 2014","195,230.49",IGF,Completed,,,,,,,,,,,,,,,,
14.      ,Construction of 3-Storey 9-Unit Classroom Block Pig Farm 1&2 Primary (Phase 1-6 unit classroom block),Pigfarm,Contelec Enterprise,Metro Works Department,"Monday, January 11, 2021",Sept. 2012,"422,356.14",GETFUND/SUTEmIP,Completed,,,,,,,,,,,,,,,,
15.      ,"Construction of 2 Storey 12-Unit Classroom block with ancillary facilities at Nanka Bruce Basic School, Korle Gonno",Korle Gonno,St. Andrews Express Limited,Metro Works Department,"Thursday, January 11, 2024",8 Months,"245,211.96",GETFUND/SUTEmIP,Completed,,,,,,,,,,,,,,,,
16.      ,"Construction Of 3-Storey, 18-Unit Classroom Block With Ancillary Facilities For Nanka Bruce Primary School (AMA/MCI/IGF/2013/01)",Korle Gonno,St. Andrews Express Limited,Metro Works Department,"Tuesday, November 13, 2029",4 Months,"158,153.79",GETFUND/SUTEmIP,Completed,,,,,,,,,,,,,,,,
17.      ,"Construction of three storey,18-Unit classroom block with ancillary facilities for cable and wireless basic school(AMA/MCI/IGF/2012/01)",Bubuashie,M-Mood Limited,Metro Works Department,"Friday, November 12, 2021",15 Months,"1,164,467.56",IGF,Completed,,,,,,,,,,,,,,,,
18.      ,"Construction of 2-Storey 12-unit classroom block (Phase 1:6-unit classroom) with ancillary facilities for Osu Salem No. 1 Primary at Osu, Accra",Osu,Proko-Ghana Limited,Metro Works Department,"Monday, August 12, 2024",8 Months,"406, 370. 36",GETFUND/SUTEmIP,Completed,,,,,,,,,,,,,,,,
19.      ,"Construction Of Portions Of Fence Wall and Ground Works At Zamrama Line Cluster Of Schools, Dansoman-Accra",Dansoman,N-Plan Company Limited,Metro Works Department,"Friday, November 13, 2020",4 Weeks,"49,063.49",IGF,Completed,,,,,,,,,,,,,,,,
20.      ,"3-Unit temporary classroom block and minor renovation of washrooms at James Town Methodist school, Accra",Jamestown,Messrs  Amethom Company Ltd,Metro Works Department,"Saturday, May 14, 2022",4 Weeks,"15,965.52",IGF,Completed,,,,,,,,,,,,,,,,
21.      ,Re-roofing of collapsed roofs of 6-unit classroom block for Kokomlemle,Kokomlemle,Messrs Janicom Limited,Metro Works Department,"Wednesday, October 13, 2021",12 Months,"48,960.48",IGF,Completed,,,,,,,,,,,,,,,,
22.      ,"Renovation Of 3 No. Classroom Block At Private Odartey Lamptey Basic School – High Street, Accra",Accra,Messrs N-Plan,Metro Works Department,"Tuesday, February 11, 2003","Saturday, February 12, 2005","113,572.50",IGF,Completed,,,,,,,,,,,,,,,,
23.      ,Renovation Of 4.No Classroom Block With Fence Wall For Roman Boys,Korle Gonno,Messrs St Andrews Express Contractors Limited,Metro Works Department,-,3 Months,"206,942.30",IGF,Completed,,,,,,,,,,,,,,,,
24.      ,"3 Unit Temporary Classroom Block and Minor Renovation of Washrooms at James Town Methodist School, Accra",Korle Gonno,Messrs Amethom Company,Metro Works Department,"Saturday, May 14, 2022",12 Months,"15,965.52",IGF,Completed,,,,,,,,,,,,,,,,
25.      ,"Re-construction of portion fence wall at Zamrama line cluster of schools, Dansoman-Accra",Dansoman,Messrs N Plan Limited,Metro Works Department,-,3 Months,"49,063.49",Common Fund,Completed,,,,,,,,,,,,,,,,
26.      ,Construction of 3 storey 18- Unit classroom block with Ancillary facilities for Accra College of Education Practice School in ATTRACO,"Accra College of Education , Ayawaso West",Messrs Yakon Limited,Metro Works Department,"Monday, May 14, 2029","Saturday, November 15, 1930","1,540,318.72",UDG 2,On-going,,,,,,,,,,,,,,,,
27.      ,Construction of 3 storey 18-unit classroom block with Ancillary facilities for Accra Newtown Experimental School.,Accra Newtown Experimental School Ayawaso Central,Rockeverest Trading & Const. Ltd,Metro Works Department,"Monday, May 14, 2029","Wednesday, April 16, 1930","2,119,899.79",UDG 2,on-going,,,,,,,,,,,,,,,,
28.      ,"Construction of 3 storey, 18-Unit classroom block with Ancillary facilities for Abavana cluster of schools, Newtown",Abavana Cluster of Schools Ayawaso Central,Excellent Builders,Metro Works Department,"Monday, May 14, 2029","Wednesday, April 16, 1930","1,512,702.66",UDG 2,on-going,,,,,,,,,,,,,,,,
29.      ,Construction of 3 storey –(18) Unit classroom block with Ancilliary facilities for Maamobi,"Maamobi Prisons Cluster of School, Ayawaso East",Amfield Limited,Metro Works Department,"Monday, May 14, 2029","Friday, May 16, 1930","1,924,716.75",UDG 2,on-going,,,,,,,,,,,,,,,,
30.      ,Construction of 2 – storey girls dormitory block for Achimota Senior High School,"Achimota Senior High School, Okaikoi North",FNB Investment Ltd.,Metro Works Department,"Monday, May 14, 2029","Tuesday, July 15, 1930","1,856,594.85",UDG 2,on-going,,,,,,,,,,,,,,,,
31.      ,"Construction of 3-Storey (18) Unit Classroom Block with  Kindergarten, Disability access and  Ancillary Facilities for Kwashieman Cluster of Schools",Kwashieman Near the Chief’s Palace Ablekuma North,Zimmah Enterprise Limited,Metro Works Department,"Friday, January 15, 2016","Tuesday, February 16, 2010","2,798,908.81",UDG 3,On-going,,,,,,,,,,,,,,,,
32.      ,"Construction of 3-Storey (18) Unit Classroom Block with  Kindergarten, Disability access  and  Ancillary Facilities for Tessano Cluster of Schools",Tessano Cluster of School,St. Andrews Express Contractors,Metro Works Department,"Friday, January 15, 2016","Thursday, October 16, 1930","2,779,014.57",UDG 3,On-going,,,,,,,,,,,,,,,,
33.      ,"Construction of 3-Storey (18) Unit Classroom Block with  Kindergarten, Disability access and  Ancillary Facilities for Abavana Down Cluster of Schools",Abavana Down near Alajo Presby Church/ Ayawaso Central,Snavec Reg. Company Gh. Ltd,Metro Works Department,"Friday, January 15, 2016","Monday, February 15, 2010","2,607,677.36",UDG 3,On-going,,,,,,,,,,,,,,,,
34.      ,"Construction of 3-Storey (18) Unit Classroom Block with  Kindergarten, Disability access and  Ancillary Facilities for Salleria Cluster of Schools - Darkuman –Kokompe",Salleria Cluster of Schools at Darkuman -Kokompe,Phenopia Limited,Metro Works Department,"Friday, January 15, 2016","Saturday, January 16, 2027","2,796,170.89",UDG 3,On-going,,,,,,,,,,,,,,,,
35.      ,"Construction of 3-Storey (18) Unit Classroom Block with  Kindergarten, Disability access and  Ancillary Facilities for La Bawaleshie Presby Cluster of Schools Ayawaso West",La Bawaleshie East Legon opposite school of Accountancy Ayawaso West,Excellent Builders,Metro Works Department,"Friday, July 15, 2016","Tuesday, December 16, 1930","2,796,977.08",UDG 3,On-going,,,,,,,,,,,,,,,,
36.      ,"Construction of 3-Storey (18) Unit Classroom Block with  Kindergarten, Disability access and  Ancillary Facilities for St. Joseph Anglican Cluster of Schools","Bubuashie Roundabout in St Joseph’s Anglican Church Premises, Okaikoi South",Yakon Investment Ltd.,Metro Works Department,"Friday, January 15, 2016","Tuesday, July 16, 2019","2,801,595.71",UDG 3,On-going,,,,,,,,,,,,,,,,
37.      ,"Construction of 3-Storey    (18) Unit Classroom Block with Disability Access, Kindergarten  Block and Ancillary facilities for Apenkwa Presby/ Shiayennor Cluster of Schools – Okaikoi North","Premises of Apenkwa Presby Church, Behind De’ Georgia Motors. Okaikoi North Sub-Metro",Messrs Jasoung Company Ltd,Metro Works Department,-,-,"3,454,000.00",UDG4,On-going,,,,,,,,,,,,,,,,
38.      ,"Construction of 3-Storey    (18) Unit Classroom Block with Disability Access, Kindergarten  Block and Ancillary facilities for; Osu Presby Cluster of Schools – Osu Klottey  ","Adjacent Osu Ebenezer Presby Church Hall, Osu.",Messrs ADQ Construction Works,Metro Works Department,-,-,"3,454,000.00",UDG4,On-going,,,,,,,,,,,,,,,,
39.      ,"Construction of 3-Storey    (18) Unit Classroom Block with Disability Access, Kindergarten  Block and Ancillary facilities for; Ayalolo  Cluster of Schools – Ashiedu Keteke","Timber Market, Hansen Road Ashiedu Keteke Sub-Metro",Messrs Yakon Investment Limited,Metro Works Department,-,-,"2,944,406.14",UDG4,On-going,,,,,,,,,,,,,,,,
40.      ,"Construction of 3-Storey    (18) Unit Classroom Block with Disability Access, Kindergarten  Block and Ancillary facilities for; Abeka Cluster of Schools, New Fadama - Okaikoi North","New Fadama Abeka, Near the National Chief Imam’s Palace. Okaikoi North Sub-Metro",Milpar Investment & Developer LTD,Metro Works Department,-,-,"3.049,515.24",UDG4,On-going,,,,,,,,,,,,,,,,
41.      ,"Construction of 3-Storey    (30) Unit Classroom Block with Disability Access, Kindergarten  Block and Ancillary facilities for; Sempe “1” Basic Schools -  Ashiedu Keteke","Near Sempe Mantse’s Palace, James Town. Ashiedu Keteke Sub-Metro",Messrs Samaward Gh Limited,Metro Works Department,-,-,"4,387,414.32",UDG4,On-going,,,,,,,,,,,,,,,,
42.      ,"Construction of 3-Storey    (18) Unit Classroom Block with Disability Access, Kindergarten  Block and Ancillary facilities for; Liberty Avenue Cluster of Schools – Osu Klottey",Opposite Farisco or Head Office of GLICO Life Insurance. Osu Klottey Sub-Metro,Messrs Delovely Company Limited,Metro Works Department,-,-,"3,027,465.76",UDG4,On-going,,,,,,,,,,,,,,,,
43.      ,"Construction of 3-Storey    (18) Unit Classroom Block with Disability Access, Kindergarten  Block and Ancillary facilities for Roman Catholic Boys Cluster of Schools, Korle-Gonno",Korle-Gonno Cluster of Schools,Snavec Reg. Company GH. Limited.,Metro Works Department,"Friday, March 15, 2002","Monday, September 15, 1930","2,411,767.16",AMA/ USAID,Ongoing,,,,,,,,,,,,,,,,
44.      ,"Construction of 2-Storey 12-unit classroom block (Phase 1 : 6-unit classroom) with ancillary facilities for Abeka 3B at Fadama Cluster, Accra",Fadama Okaikoi North,SoRoad Fund-SoRoad Fund Ghana Limited,Metro Works Department,"Sunday, February 12, 2006",Oct. 2012,"402, 893. 84",GETFUND/SUTEmIP,Not Yet Started,,,,,,,,,,,,,,,,
45.      ,"Construction of 1No. 2-level 6 unit classroom block with office, store and teachers common room (Block B) at the Kotobabi Cluster of schools",Kotobabi,Messrs Samrak Limited,Metro Works Department,"Thursday, April 12, 2012",Oct. 2012,"395,514.05",AMA/SIF,On-going,,,,,,,,,,,,,,,,
46.      ,Supply of Dual Desk for Selected Schools (Lots 1A&B),"Salvation Zamrama Line, Okpoti And Abavana Cluster of Schools",Messrs Selyn 2 Enterprise,Metro Works Department,-,3 Months,"74,654.40",IGF,Supplied,,,,,,,,,,,,,,,,
47.      ,"Construction of 3-Storey 9-Unit Classroom Akweibu Basic School,  Mataheko",Mataheko,Melkas Investment Ltd,Metro Works Department,"Monday, January 11, 2021",Sept. 2012,"318,929.56",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
48.      ,"J T Cluster, Mataheko, 3-Storey 18-Unit Classroom Block (Phase 1 – 6 Classroom Block)",Mataheko (Relocated to Da-Awaltu),Mighty Gh. Ltd,Metro Works Department,"Sunday, May 12, 2774","Monday, January 11, 2021","319,355.17",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
49.      ,"Construction of 3-Storey 18 Unit classroom block for Independence Avenue Basic, (Phase 1 – 6 Classroom Block)",Makola,Rodot Ventures Ltd,Metro Works Department,"Monday, January 11, 2021",Sept. 2012,"316,876.16",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
50.      ,"Construction of 3-Storey 18-Unit Classroom Block for King Tackie Cluster, Farisco, 3- (Phase 1-2 Storey 6 Classroom Block",Farisco,Danash Eng. Ltd,Metro Works Department,"Monday, January 11, 2021",Sept. 2012,277.815.29,GETFUND/SUTEmIP,Yet to start,,,,,,,,,,,,,,,,
51.      ,"Construction of 3-Storey- 18-Unit Classroom Block for Mamobi Unity Cluster, 3-Storey 9-Unit Classroom Block  (Phase 1-6 Classroom Block)",Osu Klottey (Relocated to Osu Children’s Home),Bizun Co. Ltd,Metro Works Department,"Monday, January 11, 2021",Sept. 2012,"277,094.46",GETFUND/SUTEmIP,Yet to start,,,,,,,,,,,,,,,,
52.      ,"Kanda Community School, 3- Storey 12- Unit Classroom Block (Phase 1-6 Classroom Block)",Kanda,Yakbrains Ltd,Metro Works Department,"Monday, January 11, 2021",Sept. 2012,"318,397.51",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
53.      ,"Chorkor Presby Primary, 2-Storey 6-Unit Classroom Block (Phase 1-3 Classroom Block)",Chorkor,Willbakon Ltd,Metro Works Department,"Monday, January 11, 2021",Sept. 2012,"123,447.51",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
54.      ,Construction of 3-Storey 18-Classroom Block for Tenashi Primary (Phase 1 – 6 Classroom Block),Osu Ako-Adjei(Relocated to La-Presby Girls),Mao Associates (Gh) Ltd,Metro Works Department,"Monday, January 11, 2021",Sept. 2012,"318,727.61",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
55.      ,Construction of 3-Storey 9-Unit Classroom Block with ancillary Facilities at  Fadama Cluster of Schools (Phase 1-2-Storey 6-Unit Classroom Block),Fadama,Digicast Limited,Metro Works Department,"Monday, January 11, 2021",Sept. 2012,"227,792.41",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
56.      ,Construction of 2 Storey 6-Unit Classroom Block with Ancillary Facilities at  Achimota Anglican School,Achimota,Awacon Limited,Metro Works Department,"Tuesday, February 11, 2003",Sept. 2012,"191,900.79",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
57.      ,"Anumle Basic, Construction of 3-Storey 12-Classroom Block (Ground Floor of 4-Unit Classroom)",Anumle,Headlines Hospitality,Metro Works Department,"Tuesday, February 11, 2003",Sept. 2012,"187,384.34",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
58.      ,Construction of 3-Storey 18-Unit Classroom Block with Ancillary Facilities at  ANT Experimental Compound,Accra Newtown,C.Adjeytey,Metro Works Department,"Tuesday, March 11, 2003",Mar. 2013,"614,549.92",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
59.      ,Construction of 3 Storey 18-Unit Classroom Block with Ancillary Facilities Shaiyennoh Cluster of school,Apenkwa,Lord Grand Central Co. Ltd,Metro Works Department,"Tuesday, February 11, 2003",Feb. 2013,"618,791.15",GETFUND/SUTEmIP,Work not started,,,,,,,,,,,,,,,,
60.      ,Construction of 3-Storey 18-Unit Classroom block with ancillary facilities at Abavana Cluster (Phase 1-6 unit classroom block),Kotobabi,Koddeg Gh. Ltd,Metro Works Department,"Monday, April 11, 2011",Dec. 2012,"318,200.09",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
61.      ,Construction of 3-Storey 18-Unit Classroom block with ancillary facilities at Kokomlemle 1&2 primary school (Phase I-6 Classroom Block),Kokomlemle (Relocated to Abavana Down),Yerx Company Limited,Metro Works Department,"Sunday, April 11, 2027",Apr. 2012,"465,013.58",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
62.      ,"Construction of 3-Storey 12-Unit Classroom Block with ancillary facilities at Nima 1 Basic School, Nima",Nima,Construction Ambassador Limited,Metro Works Department,"Sunday, April 11, 2027",Apr. 2012,"549,444.28",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
63.      ,Rehabilitation of 2 No. Classroom block and fence at Ringway Estate Primary & J.H.S,Ringway Estate,Gailpet Company Limited,Metro Works Department,"Tuesday, June 11, 2002","Mar, 2012","139,499.48",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
64.      ,Construction of 3 –Storey 18 Unit Classroom block with ancillary facilities at AME Zion Basic School (Phase I-6 Classroom Block),Banana Inn,Delovely Limited,Metro Works Department,"Wednesday, June 11, 2003","Mar, 2012","315,967.52",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
65.      ,Construction of 3 –Storey 18-Unit Classroom Block with ancillary facilities at Ayalolo Cluster of Schools  (Phase 1 – 6 Classroom Block),Accra Central,Flexcom Limited,Metro Works Department,"Wednesday, June 11, 2003","Mar, 2012","350,000.00",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
66.      ,Construction of 6-unit Classroom block with ancillary facilities at Bubuashie Cable & Wireless School in the Accra Metropolitan Assembly,Bubuashie,Bielbielnaba Enterprise,Metro Works Department,"Saturday, December 11, 2021",May. 2012,"251,941.29",MOE/GETFUND,On-going,,,,,,,,,,,,,,,,
67.      ,Construction of 6-unit classroom with ancillary facilities at Abbosey Okai 1&2 in the Accra Metropolitan Assembly,Abbosey Okai,Asquith Devt. Limited,Metro Works Department,"Saturday, December 11, 2021",May. 2012,"251,941.29",MOE/GETFUND,On-going,,,,,,,,,,,,,,,,
68.      ,Construction of 6-unit classroom with ancillary facilities at Kitson Mills Basic School in the Accra Metropolitan Assembly,Korle Gonno,Joshob Construction Company Limited,Metro Works Department,"Saturday, December 11, 2021",May. 2012,"251,941.29",MOE/GETFUND,On-going,,,,,,,,,,,,,,,,
69.      ,Construction of 6-unit classroom with ancillary facilities at James Town Methodist Junior High School in the Accra Metropolitan Assembly,Jamestown,Bay Commercials,Metro Works Department,"Saturday, December 11, 2021","Aug, 2012","251,941.29",MOE/GETFUND,On-going,,,,,,,,,,,,,,,,
70.      ,Construction of 3 Storey 18-Unit Classroom Block with ancillary facilities for Sempe Cluster of schools,Jamestown,Samaward Co.Ltd,Metro Works Department,"Sunday, January 12, 2025",Mar. 2014,"842,278.10",MOE/GETFUND,Awarded,,,,,,,,,,,,,,,,
71.      ,"Achimota Primary 3-Storey 18-Unit Classroom Block with Ancillary Facilities for Achimota Primary School, Achimota",Achimota,Bricksfield Limited,Metro Works Department,"Sunday, January 12, 2025",Mar. 2014,"832,983.43",MOE/GETFUND,On-going,,,,,,,,,,,,,,,,
72.      ,"Construction of 3 Storey 18-Unit Classroom block with ancillary facilities for Avenor Basic School, Avenor",Avenor,Vivendi Construction Co.Ltd,Metro Works Department,"Sunday, January 12, 2025",Mar. 2014,"903,783.53",MOE/GETFUND,Not yet Started,,,,,,,,,,,,,,,,
73.      ,Construction of 3 Storey 18-Unit Classroom block with ancillary facilities for Bubuashie Cable and Wireless,Bubuashie,Danbort Co. Ltd,Metro Works Department,"Sunday, January 12, 2025",Mar. 2014,"865,227.55",MOE/GETFUND,Not yet Started,,,,,,,,,,,,,,,,
74.      ,"Construction of 3-storey-18-unit classroom block with ancillary facilities for Kwashieman Basic School at Kwashieman, Accra",Kwashieman,Maxsony Limited,Metro Works Department,"Saturday, January 11, 2025",Mar. 2014,"876,577.25",MOE/GETFUND,Not Yet Started,,,,,,,,,,,,,,,,
75.      ,Completion of Basic School and Kindergarten classroom block at Avenor Primary School,Avenor,Maxsony Limited,Metro Works Department,"Sunday, March 12, 2006",Nov. 2012,"258,000.00",GETFUND/SUTEmIP,Not Yet Started,,,,,,,,,,,,,,,,
76.      ,"Constriction of 6-unit Classroom with ancillary facilities (Phase 1:3-unit classroom Block) at St Barnabas Anglican Primary School, Osu",Osu,Kelore Construction Limited,Metro Works Department,"Sunday, February 12, 2006",Nov. 2012,"198, 524.00",GETFUND/SUTEmIP,Not Yet Started,,,,,,,,,,,,,,,,
77.      ,Construction of 6-unit Classroom block at Liberty Avenue Primary School,Adabraka,S. K. Kwarteng,Metro Works Department,"Sunday, February 12, 2006",Nov. 2012,"127, 967. 80",GETFUND/SUTEmIP,Not Yet Started,,,,,,,,,,,,,,,,
78.      ,Construction of 18-unit classroom block with ancillary facilities (Phase 1 : 6-unit classroom block) at Adabraka Presby School,Adabraka,Inver Gold Limited,Metro Works Department,"Sunday, February 12, 2006",Nov. 2012,"411, 353. 32",GETFUND/SUTEmIP,Not Yet Started,,,,,,,,,,,,,,,,
79.      ,"Construction of 2-Storey 12-unit classroom block (Phase 1 : 6-unit classroom) with ancillary facilities for Abeka 3B at Fadama Cluster, Accra",Fadama,Sorf-Sorf Ghana Limited,Metro Works Department,"Sunday, February 12, 2006",Nov. 2012,"402, 893. 84",GETFUND/SUTEmIP,Not Yet Started,,,,,,,,,,,,,,,,
80.      ,"Construction of 2-Storey 12-unit classroom block (Phase 1:6-unit classroom) with ancillary facilities for Tenasa 2 Primary at Tenasa, Accra",Tesano,Dela-Beta Company Limited,Metro Works Department,"Sunday, February 12, 2006",Nov. 2012,"404, 003. 46",GETFUND/SUTEmIP,Not Yet Started,,,,,,,,,,,,,,,,
81.      ,"Construction of 1No. 2-level 6 unit classroom block with office, store and teachers ommon room (Block B) at the Kotababi Cluster of schools",Kotobabi,Samrak Limited,Metro Works Department,"Thursday, April 12, 2012",Oct. 2012,"395,514.05",AMA/SIF,On-going,,,,,,,,,,,,,,,,
82.      ,"Construction of 2-Storey 12-unit classroom block (Phase 1:6-unit classroom) with ancillary facilities for Mamprobi Sempe Primary at Mamprobi, Accra",Mamprobi,Saamah Plumbing & Construction Limited,Metro Works Department,"Monday, August 12, 2024",8 Months,"410, 490. 65",GETFUND/SUTEmIP,Not Yet Started,,,,,,,,,,,,,,,,
83.      ,"Construction of 1 No 3-Level Classroom Block With Office, Store And Teacher’s Common Room (Block A & B) at the Odorkor Cluster of Schools",Ablekuma North,E.D John / Rockeverest,Metro Works Department,"Thursday, April 12, 2012",6 Months,"9,00,944.28",AMA/SIF,Completed,,,,,,,,,,,,,,,,
84.      ,"Construction of 1 No 3-Level Classroom Block With Office, Store And Teacher’s Common Room (Block A) at the Kotobabi Cluster of Schools",Kotobabi,Kutia / Samak Limited,Metro Works Department,"Thursday, April 12, 2012",6 Months,"745,418.12",AMA/SIF,On-Going,,,,,,,,,,,,,,,,
85.      ,Construction of 6 Unit Classroom Block for Kwashieman ‘2’ Primary School,Kwashieman,Messrs Blematessa Company Limited,Metro Works Department,O2/15/13,8 Months,"150,415.70",GetFund,Completed,,,,,,,,,,,,,,,,
86.      ,Rehabilitation of 6-unit Classroom Block,Osu Salem Primary School,Messrs Halfast Limited,Metro Works Department,"Saturday, February 12, 2022",8 Months,"120,454.13",GETFUND,Completed,,,,,,,,,,,,,,,,
87.      ,Construction of 3-Storey Girls Dormitory Block,Achimota Senior High School,Messrs F n B Investment Ghana limited,Metro Works Department,"Monday, May 14, 2029","Friday, November 15, 2024","1,856,594.85",UDG2,On-going,,,,,,,,,,,,,,,,
88.      ,Construction of 4-Storey 8-Unit Block of Flats,Labone Senior High School,Messrs Rockeverest Const. Limited,Metro Works Department,"Tuesday, March 10, 2015",13 Months,"657,000.00",GETFund,On-going,,,,,,,,,,,,,,,,
89.      ,Renovation of 2 No Staff Bungalows,Accra Girls Senior High School,Messrs F n B Investment Ghana limited,Metro Works Department,"Monday, May 14, 2029","Friday, November 15, 2024","89,570.00",GETFund,On-going,,,,,,,,,,,,,,,,
90.      ,"Construction of 3 storey 18unit classroom block for cable and wireless, Basic School at Bubuashie, Accra",Bubuashie,M-Mood Limited,Metro Works Department,"Friday, November 12, 2021",15 Months,"1,164,467.56",IGF/DDF,On-going,,,,,,,,,,,,,,,,
91.      ,Construction of One Level Assessment/ Resource Centre,Achimota Senior High School,Messrs Isahaque Limited,Metro Works Department,"Monday, June 10, 2024",6 Months,"520,016.10",GETFund,On-going,,,,,,,,,,,,,,,,
92.      ,Construction of 3-Storey 18-Unit Classroom Block,Kinbu Senior High/Technical,Messrs Inver Gold (GH) Ltd,Metro Works Department,"Friday, February 11, 2028",16 Months,"998,500.00",GETFund,On-going,,,,,,,,,,,,,,,,
93.      ,Construction of 6-Unit Classroom Block With Ancillary Facilities,Wesley Grammer Senior High School,Messrs Gailpet ltd,Metro Works Department,"Wednesday, May 11, 2011",12 Months,"590,803.42",GETFund,Not Yet Started,,,,,,,,,,,,,,,,
94.      ,Construction of 2-Storey Girls Dormitory Block,Armed Forces Senior High/Tec. Sch,Messrs Halfast Limited,Metro Works Department,"Monday, December 11, 2023",10 Months,"781,149.15",GETFund,Not Yet Started,,,,,,,,,,,,,,,,
95.      ,Construction of Dining Hall With Kitchen,Armed Forces Senior High/Tec. Sch,Messrs Kelore Ltd,Metro Works Department,"Monday, December 11, 2023",10 Months,"749,414.56",GETFund,Not Yet Started,,,,,,,,,,,,,,,,
